Tempo origine (UTC),Magnitudo,Latitudine N,Longitudine E,Profondità (km)
2012/06/01 22:51:23.57,0.1,40.8310,14.1517,1.00,Revisionato
2012/06/05 01:55:36.40,0.4,40.8243,14.1307,1.58,Revisionato
2012/07/06 03:05:48.56,0.2,40.8082,14.1913,2.81,Revisionato
2012/08/02 13:55:44.02,0.2,40.8313,14.1440,1.40,Revisionato
2012/08/04 01:08:16.53,-0.5,40.8223,14.1402,2.74,Revisionato
2012/08/04 01:09:13.01,-0.1,40.8220,14.1342,1.00,Revisionato
2012/08/04 01:09:13.01,-0.5,40.8220,14.1342,1.00,Revisionato
2012/08/04 01:24:57.43,0.1,40.8220,14.1352,1.69,Revisionato
2012/08/04 17:24:48.63,-0.5,40.8220,14.1410,2.00,Revisionato
2012/08/22 07:01:35.00,0.2,40.8352,14.1525,2.00,Revisionato
2012/09/01 03:48:22.83,0.7,40.8270,14.1218,2.00,Revisionato
2012/09/01 04:02:31.43,1.0,40.8222,14.1130,2.00,Revisionato
2012/09/01 04:37:38.38,1.0,40.8237,14.1158,2.00,Revisionato
2012/09/01 06:09:22.99,-0.1,40.8238,14.1158,2.00,Revisionato
2012/09/07 07:15:46.26,0.1,40.8348,14.1187,3.23,Revisionato
2012/09/07 07:16:25.30,-0.5,40.8367,14.1158,3.38,Revisionato
2012/09/07 07:18:21.33,-0.3,40.8367,14.1158,3.61,Revisionato
2012/09/07 07:19:42.83,-1.0,40.8367,14.1205,4.02,Revisionato
2012/09/07 07:21:20.15,0.1,40.8367,14.1158,2.99,Revisionato
2012/09/07 07:22:30.79,-0.8,40.8395,14.1192,2.81,Revisionato
2012/09/07 07:23:34.63,-0.3,40.8403,14.1188,3.19,Revisionato
2012/09/07 07:23:42.22,0.1,40.8367,14.1158,2.95,Revisionato
2012/09/07 07:23:53.30,-0.8,40.8367,14.1117,2.75,Revisionato
2012/09/07 07:24:39.72,0.9,40.8367,14.1158,2.80,Revisionato
2012/09/07 07:25:54.27,0.6,40.8390,14.1177,2.99,Revisionato
2012/09/07 07:27:26.45,0.9,40.8395,14.1158,3.06,Revisionato
2012/09/07 07:28:16.44,-1.0,40.8388,14.1188,2.67,Revisionato
2012/09/07 07:29:27.99,-0.5,40.8367,14.1158,2.77,Revisionato
2012/09/07 07:29:35.31,-0.5,40.8392,14.1103,2.95,Revisionato
2012/09/07 07:31:27.07,0.9,40.8367,14.1158,2.82,Revisionato
2012/09/07 07:33:17.35,0.1,40.8410,14.1102,2.82,Revisionato
2012/09/07 07:34:14.12,1.7,40.8367,14.1110,3.07,Revisionato
2012/09/07 07:35:25.40,-0.5,40.8367,14.1133,3.07,Revisionato
2012/09/07 07:39:46.84,-0.3,40.8390,14.1158,2.97,Revisionato
2012/09/07 07:43:53.33,-0.1,40.8388,14.1102,2.95,Revisionato
2012/09/07 07:49:12.06,1.1,40.8367,14.1158,3.00,Revisionato
2012/09/07 07:51:46.78,0.2,40.8367,14.1158,3.13,Revisionato
2012/09/07 07:55:27.48,-0.3,40.8367,14.1158,3.03,Revisionato
2012/09/07 07:55:34.11,0.2,40.8395,14.1183,3.22,Revisionato
2012/09/07 07:59:18.36,0.4,40.8390,14.1158,3.09,Revisionato
2012/09/07 08:00:46.81,0.5,40.8405,14.1190,2.78,Revisionato
2012/09/07 08:03:27.60,1.2,40.8388,14.1158,3.11,Revisionato
2012/09/07 08:13:19.37,0.9,40.8417,14.1158,2.97,Revisionato
2012/09/07 08:17:32.84,0.2,40.8395,14.1158,3.47,Revisionato
2012/09/07 08:21:48.26,0.8,40.8452,14.1215,2.62,Revisionato
2012/09/07 08:25:0.89,1.7,40.8407,14.1133,2.16,Revisionato
2012/09/07 08:26:56.08,0.1,40.8390,14.1143,2.95,Revisionato
2012/09/07 08:28:48.45,-0.5,40.8367,14.1158,3.07,Revisionato
2012/09/07 08:32:5.45,0.8,40.8367,14.1158,3.05,Revisionato
2012/09/07 08:36:3.02,0.6,40.8367,14.1190,3.61,Revisionato
2012/09/07 08:40:28.89,0.2,40.8398,14.1128,2.94,Revisionato
2012/09/07 08:41:50.63,-0.1,40.8367,14.1158,3.33,Revisionato
2012/09/07 08:42:19.97,-0.3,40.8405,14.1163,2.00,Revisionato
2012/09/07 08:47:0.82,1.0,40.8400,14.1158,3.11,Revisionato
2012/09/07 08:52:59.33,-0.5,40.8367,14.1158,3.11,Revisionato
2012/09/07 08:54:45.57,-0.1,40.8385,14.1122,2.98,Revisionato
2012/09/07 09:02:16.08,0.1,40.8405,14.1182,2.96,Revisionato
2012/09/07 09:04:36.50,-0.5,40.8397,14.1158,2.52,Revisionato
2012/09/07 09:06:56.89,-0.1,40.8428,14.1120,2.92,Revisionato
2012/09/07 09:24:21.63,-0.1,40.8432,14.1127,3.19,Revisionato
2012/09/21 09:26:20.17,0.7,40.8490,14.1187,1.38,Revisionato
2012/10/04 23:43:44.43,0.1,40.8315,14.1337,2.36,Revisionato
2012/10/11 22:11:53.14,-0.1,40.8382,14.1435,2.38,Revisionato
2012/10/14 15:22:29.94,0.2,40.8237,14.1438,0.66,Revisionato
2012/10/16 00:05:52.93,1.8,40.8228,14.1465,1.56,Revisionato
2012/10/27 03:09:46.50,0.5,40.8237,14.1348,2.25,Revisionato
2012/10/27 07:33:34.43,0.2,40.8243,14.1353,2.00,Revisionato
2012/12/13 05:00:24.57,-0.5,40.8220,14.1420,2.52,Revisionato
2012/12/16 06:50:59.88,-0.5,40.8228,14.1462,1.61,Revisionato
2012/12/25 18:10:28.26,0.4,40.8215,14.1487,1.25,Revisionato
2012/12/26 06:33:1.77,0.1,40.8220,14.1713,2.69,Revisionato
2012/12/31 00:36:52.07,0.2,40.8297,14.1302,1.75,Revisionato
2013/01/05 20:44:12.07,0.1,40.8313,14.1435,0.20,Revisionato
2013/01/23 23:44:27.68,-0.1,40.8220,14.1273,0.46,Revisionato
2013/01/26 09:33:7.66,-0.1,40.8397,14.1375,1.55,Revisionato
2013/01/26 10:42:34.82,0.2,40.8430,14.1367,1.00,Revisionato
2013/01/26 12:12:36.64,-0.5,40.8407,14.1340,1.11,Revisionato
2013/01/30 23:05:34.32,0.2,40.8315,14.1528,2.00,Revisionato
2013/01/31 23:23:20.67,-0.5,40.8315,14.1507,1.70,Revisionato
2013/02/04 22:41:33.40,-0.8,40.8313,14.1472,2.18,Revisionato
2013/02/07 00:14:26.27,-0.3,40.8217,14.1402,2.93,Revisionato
2013/02/15 10:11:29.25,-0.8,40.8207,14.1455,0.91,Revisionato
2013/03/30 10:21:35.14,-0.8,40.8252,14.1402,3.97,Revisionato
2013/04/03 02:09:50.87,-0.3,40.8315,14.1388,1.72,Revisionato
